,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,lname,sorted_date
255361,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,03/24/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A,03/24/2015,08/28/2017,Cycle Inspection / Re-inspection,talde,2015-03-24
84750,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,08/27/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,,,08/28/2017,Cycle Inspection / Initial Inspection,talde,2015-08-27
377998,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,08/27/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13.0,,,08/28/2017,Cycle Inspection / Initial Inspection,talde,2015-08-27
16858,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,10/28/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,A,10/28/2015,08/28/2017,Cycle Inspection / Re-inspection,talde,2015-10-28
176224,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,10/28/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13.0,A,10/28/2015,08/28/2017,Cycle Inspection / Re-inspection,talde,2015-10-28
308807,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,10/28/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A,10/28/2015,08/28/2017,Cycle Inspection / Re-inspection,talde,2015-10-28
36594,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,06/03/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12.0,,,08/28/2017,Cycle Inspection / Initial Inspection,talde,2016-06-03
204624,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,06/03/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,08/28/2017,Smoke-Free Air Act / Initial Inspection,talde,2016-06-03
215294,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,06/03/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,,,08/28/2017,Cycle Inspection / Initial Inspection,talde,2016-06-03
306804,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,06/19/2016,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,4.0,A,06/19/2016,08/28/2017,Cycle Inspection / Re-inspection,talde,2016-06-19
347875,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,06/19/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,06/19/2016,08/28/2017,Cycle Inspection / Re-inspection,talde,2016-06-19
339842,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,12/01/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,15.0,,,08/28/2017,Cycle Inspection / Initial Inspection,talde,2016-12-01
342997,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,12/01/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,15.0,,,08/28/2017,Cycle Inspection / Initial Inspection,talde,2016-12-01
159560,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,12/23/2016,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,12.0,A,12/23/2016,08/28/2017,Cycle Inspection / Re-inspection,talde,2016-12-23
251413,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,12/23/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,12/23/2016,08/28/2017,Cycle Inspection / Re-inspection,talde,2016-12-23
286956,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,12/23/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,08/28/2017,Smoke-Free Air Act / Re-inspection,talde,2016-12-23
329679,41637935,TALDE,BROOKLYN,369,7 AVENUE,11215.0,3479160031,Asian,12/23/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,A,12/23/2016,08/28/2017,Cycle Inspection / Re-inspection,talde,2016-12-23
233725,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,04/23/2015,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,7.0,,,08/28/2017,Cycle Inspection / Initial Inspection,tavern on the green,2015-04-23
95542,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,05/26/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,05/26/2015,08/28/2017,Cycle Inspection / Re-inspection,tavern on the green,2015-05-26
164119,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,05/26/2015,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,10.0,A,05/26/2015,08/28/2017,Cycle Inspection / Re-inspection,tavern on the green,2015-05-26
187269,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,05/26/2015,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,10.0,A,05/26/2015,08/28/2017,Cycle Inspection / Re-inspection,tavern on the green,2015-05-26
220623,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,04/13/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,04/13/2016,08/28/2017,Cycle Inspection / Initial Inspection,tavern on the green,2016-04-13
314359,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,04/13/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,A,04/13/2016,08/28/2017,Cycle Inspection / Initial Inspection,tavern on the green,2016-04-13
179674,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,07/31/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22.0,,,08/28/2017,Cycle Inspection / Initial Inspection,tavern on the green,2017-07-31
237502,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,07/31/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22.0,,,08/28/2017,Cycle Inspection / Initial Inspection,tavern on the green,2017-07-31
245457,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,07/31/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,22.0,,,08/28/2017,Cycle Inspection / Initial Inspection,tavern on the green,2017-07-31
325680,50005823,TAVERN ON THE GREEN,MANHATTAN,0,67th Street and Central Park West,10023.0,2128778685,American,07/31/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22.0,,,08/28/2017,Cycle Inspection / Initial Inspection,tavern on the green,2017-07-31
187630,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,06/21/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12.0,A,06/21/2014,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2014-06-21
357866,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,06/21/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,06/21/2014,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2014-06-21
44425,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,05/13/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2015-05-13
242594,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,05/13/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2015-05-13
252349,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,05/13/2015,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2015-05-13
379287,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,05/13/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,24.0,,,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2015-05-13
169451,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,06/12/2015,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,11.0,A,06/12/2015,08/28/2017,Cycle Inspection / Re-inspection,thalassa,2015-06-12
184400,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,06/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,06/12/2015,08/28/2017,Cycle Inspection / Re-inspection,thalassa,2015-06-12
361592,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,06/12/2015,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11.0,A,06/12/2015,08/28/2017,Cycle Inspection / Re-inspection,thalassa,2015-06-12
299049,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,01/14/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,14.0,,,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2016-01-14
332563,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,01/14/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,14.0,,,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2016-01-14
379463,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,01/14/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14.0,,,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2016-01-14
328621,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,02/08/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,02/08/2016,08/28/2017,Cycle Inspection / Re-inspection,thalassa,2016-02-08
339373,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,02/08/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,4.0,A,02/08/2016,08/28/2017,Cycle Inspection / Re-inspection,thalassa,2016-02-08
197567,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,11/02/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,11/02/2016,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2016-11-02
281248,40928698,THALASSA,MANHATTAN,179,FRANKLIN STREET,10013.0,2129417661,Greek,11/02/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,11/02/2016,08/28/2017,Cycle Inspection / Initial Inspection,thalassa,2016-11-02
138082,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,11/28/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2014-11-28
281326,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,11/28/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2014-11-28
292057,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,11/28/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,23.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2014-11-28
394950,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,11/28/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,23.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2014-11-28
28962,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,12/23/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A,12/23/2014,08/28/2017,Cycle Inspection / Re-inspection,the dutch,2014-12-23
248346,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,12/23/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11.0,A,12/23/2014,08/28/2017,Cycle Inspection / Re-inspection,the dutch,2014-12-23
309993,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,12/23/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11.0,A,12/23/2014,08/28/2017,Cycle Inspection / Re-inspection,the dutch,2014-12-23
41583,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,04/30/2015,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,12.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2015-04-30
111938,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,04/30/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2015-04-30
55225,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,05/14/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,05/14/2015,08/28/2017,Cycle Inspection / Re-inspection,the dutch,2015-05-14
144963,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,05/14/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9.0,A,05/14/2015,08/28/2017,Cycle Inspection / Re-inspection,the dutch,2015-05-14
177096,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,09/28/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,13.0,A,09/28/2015,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2015-09-28
189871,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,09/28/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,09/28/2015,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2015-09-28
259826,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,10/21/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,10/21/2016,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2016-10-21
268402,41543885,THE DUTCH,MANHATTAN,131,SULLIVAN STREET,10012.0,2126776200,American,10/21/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,10/21/2016,08/28/2017,Cycle Inspection / Initial Inspection,the dutch,2016-10-21
72974,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,08/07/2014,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,17.0,,,08/28/2017,Pre-permit (Non-operational) / Initial Inspection,the house in gramercy park,2014-08-07
291547,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,08/07/2014,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,17.0,,,08/28/2017,Pre-permit (Non-operational) / Initial Inspection,the house in gramercy park,2014-08-07
340967,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,08/07/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17.0,,,08/28/2017,Pre-permit (Non-operational) / Initial Inspection,the house in gramercy park,2014-08-07
377266,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,08/07/2014,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,17.0,,,08/28/2017,Pre-permit (Non-operational) / Initial Inspection,the house in gramercy park,2014-08-07
24387,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,11/20/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2014-11-20
136584,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,11/20/2014,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2014-11-20
149357,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,11/20/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2014-11-20
201246,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,11/20/2014,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2014-11-20
243315,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,11/20/2014,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2014-11-20
335112,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,11/20/2014,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,08/28/2017,Trans Fat / Initial Inspection,the house in gramercy park,2014-11-20
340477,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,11/20/2014,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2014-11-20
371248,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,11/20/2014,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2014-11-20
51248,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,12/30/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,A,12/30/2014,08/28/2017,Cycle Inspection / Re-inspection,the house in gramercy park,2014-12-30
295385,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,12/30/2014,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12.0,A,12/30/2014,08/28/2017,Cycle Inspection / Re-inspection,the house in gramercy park,2014-12-30
83821,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,06/16/2015,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,13.0,A,06/16/2015,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2015-06-16
93099,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,06/16/2015,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,A,06/16/2015,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2015-06-16
109591,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,06/16/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,06/16/2015,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2015-06-16
124507,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,06/16/2015,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13.0,A,06/16/2015,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2015-06-16
108543,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,05/31/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2016-05-31
126388,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.,10003.0,2123532121,American,05/31/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18.0,,,08/28/2017,Cycle Inspection / Initial Inspection,the house in gramercy park,2016-05-31
